"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs_aumento_2a";"delitos_mcs_aumento_3a";"delitos_mcs_aumento_5a";"delitos_mcs_aumento_10a"
"153";8112;"Hualpén";8;"Biobío";1,31320754716981;1,51744186046512;1,25707405177604;1,05135951661631
"154";8201;"Lebu";8;"Biobío";1,24556213017751;0,941834451901566;0,87344398340249;0,73859649122807
"155";8202;"Arauco";8;"Biobío";0,977777777777778;0,955038759689922;0,943338437978561;0,782719186785261
"156";8203;"Cañete";8;"Biobío";1,03627760252366;1,09866220735786;0,848837209302326;1,09136212624585
"157";8204;"Contulmo";8;"Biobío";0,988095238095238;1,15277777777778;0,846938775510204;0,709401709401709
"158";8205;"Curanilahue";8;"Biobío";1,10434782608696;0,937269372693727;0,820678513731826;0,647133757961783
"159";8206;"Los Alamos";8;"Biobío";1,16666666666667;1,06567164179104;1,00280898876405;0,681297709923664
"160";8207;"Tirúa";8;"Biobío";0,987951807228916;1,05128205128205;0,625954198473282;1
"161";8301;"Los Angeles";8;"Biobío";1,41533864541833;1,67029091977667;1,2807570977918;0,788130892956184
"162";8302;"Antuco";8;"Biobío";0,782051282051282;1,15094339622642;1,08928571428571;1,64864864864865
"163";8303;"Cabrero";8;"Biobío";1,45073891625616;1,77409638554217;1,48362720403023;1,18036072144289
"164";8304;"Laja";8;"Biobío";1,3371104815864;1,05357142857143;1,19796954314721;1,46130030959752
"165";8305;"Mulchén";8;"Biobío";1,47242206235012;1,65498652291105;1,43457943925234;1,06597222222222
"166";8306;"Nacimiento";8;"Biobío";1,38801261829653;1,7741935483871;1,52249134948097;1,37931034482759
"167";8307;"Negrete";8;"Biobío";1,45112781954887;1,75454545454545;2,12087912087912;1,55645161290323
"168";8308;"Quilaco";8;"Biobío";0,765625;1,02083333333333;1,02083333333333;0,96078431372549
"169";8309;"Quilleco";8;"Biobío";1,17;1,0353982300885;0,879699248120301;0,893129770992366
"170";8310;"San Rosendo";8;"Biobío";2,21951219512195;1,44444444444444;1,54237288135593;2,6
"171";8311;"Santa Bárbara";8;"Biobío";1,51824817518248;1,45454545454545;1,29192546583851;0,695652173913043
"172";8312;"Tucapel";8;"Biobío";1,54597701149425;1,69182389937107;1,39378238341969;1,17467248908297
"173";8313;"Yumbel";8;"Biobío";1,82985074626866;2,30451127819549;1,93987341772152;2,58649789029536
"174";8314;"Alto Biobío";8;"Biobío";0,818181818181818;0,782608695652174;1,23287671232877;0,9375
"175";9101;"Temuco";9;"La Araucanía";1,28515889114266;1,21414883423826;0,917682558841279;0,764351060621293
"176";9102;"Carahue";9;"La Araucanía";0,88821752265861;1,04255319148936;0,890909090909091;0,880239520958084
"177";9103;"Cunco";9;"La Araucanía";1,10752688172043;1,13602941176471;1,01311475409836;1,1793893129771
"178";9104;"Curarrehue";9;"La Araucanía";1,39316239316239;1,73404255319149;1,63;0,970238095238095
"179";9105;"Freire";9;"La Araucanía";1,43440233236152;1,30851063829787;1,23308270676692;1,1415313225058
"180";9106;"Galvarino";9;"La Araucanía";1,17532467532468;1,23972602739726;1,15286624203822;1,37121212121212
"181";9107;"Gorbea";9;"La Araucanía";1,2834008097166;1,23346303501946;1,34322033898305;1,13620071684588
"182";9108;"Lautaro";9;"La Araucanía";1,07993474714519;1,10517529215359;1,1433506044905;1,28046421663443
"183";9109;"Loncoche";9;"La Araucanía";1,18478260869565;1,05569007263923;1,0818858560794;0,910229645093946
"184";9110;"Melipeuco";9;"La Araucanía";0,956521739130435;1,06024096385542;1,375;0,977777777777778
"185";9111;"Nueva Imperial";9;"La Araucanía";1,21112929623568;1,33574007220217;1,13323124042879;1,23539232053422
"186";9112;"Padre Las Casas";9;"La Araucanía";1,08802177858439;1,20140280561122;1,08703535811423;0,937451133698202
"187";9113;"Perquenco";9;"La Araucanía";1,05747126436782;1,33333333333333;0,893203883495146;0,989247311827957
"188";9114;"Pitrufquén";9;"La Araucanía";1,18468468468468;1,32828282828283;1,08453608247423;1,14347826086957
"189";9115;"Pucón";9;"La Araucanía";1,8877755511022;1,23947368421053;1,18939393939394;0,781742738589212
"190";9116;"Saavedra";9;"La Araucanía";1,33783783783784;1,3469387755102;1,36551724137931;1,07027027027027
"191";9117;"Teodoro Schmidt";9;"La Araucanía";1,11640211640212;1;1,3525641025641;1,29447852760736
"192";9118;"Toltén";9;"La Araucanía";0,966442953020134;1,37142857142857;1,48453608247423;1
"193";9119;"Vilcún";9;"La Araucanía";1,23569794050343;1,30434782608696;1,37055837563452;1,29807692307692
"194";9120;"Villarrica";9;"La Araucanía";1,38500851788756;1,58325219084713;1,5325164938737;1,25173210161663
"195";9121;"Cholchol";9;"La Araucanía";0,825641025641026;0,856382978723404;1,0125786163522;1,0125786163522
"196";9201;"Angol";9;"La Araucanía";0,941231343283582;0,96186844613918;0,846476510067114;0,755805243445693
"197";9202;"Collipulli";9;"La Araucanía";0,962264150943396;1,02770780856423;0,839506172839506;0,890829694323144
"198";9203;"Curacautín";9;"La Araucanía";0,972027972027972;1,2579185520362;1,20869565217391;1,48663101604278
"199";9204;"Ercilla";9;"La Araucanía";0,638418079096045;0,715189873417722;0,773972602739726;0,941666666666667
"200";9205;"Lonquimay";9;"La Araucanía";1,0126582278481;0,975609756097561;1,03225806451613;1,55339805825243
"201";9206;"Los Sauces";9;"La Araucanía";0,946153846153846;1;0,917910447761194;0,9609375
"202";9207;"Lumaco";9;"La Araucanía";1,01769911504425;1,18556701030928;0,821428571428571;0,741935483870968
"203";9208;"Purén";9;"La Araucanía";1,40666666666667;1,19886363636364;1,03940886699507;1,08205128205128
"204";9209;"Renaico";9;"La Araucanía";1,035;1,15642458100559;0,855371900826446;1
"205";9210;"Traiguén";9;"La Araucanía";1,08012820512821;1,19503546099291;0,991176470588235;1,02121212121212
"206";9211;"Victoria";9;"La Araucanía";0,96652719665272;0,95983379501385;0,927710843373494;0,828947368421053
"207";10101;"Puerto Montt";10;"Los Lagos";1,2801549568586;1,46042587384492;1,0376819868684;0,880358440300315
"208";10102;"Calbuco";10;"Los Lagos";1,20973782771536;1,34303534303534;1,11571675302245;1,45823927765237
"209";10103;"Cochamó";10;"Los Lagos";1,04347826086957;1,26315789473684;0,923076923076923;0,979591836734694
"210";10104;"Fresia";10;"Los Lagos";1,08928571428571;1,55084745762712;1,18064516129032;0,884057971014493
"211";10105;"Frutillar";10;"Los Lagos";1,34901960784314;1,25547445255474;1,35433070866142;1,2027972027972
"212";10106;"Los Muermos";10;"Los Lagos";1,38636363636364;1,53459119496855;1,46987951807229;1,5741935483871
"213";10107;"Llanquihue";10;"Los Lagos";1,07692307692308;1,15827338129496;1,14590747330961;1,30364372469636
