"";"comuna";"cut_comuna";"region";"cut_region";"año";"pais";"n";"residencia";"estado"
"185";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Argentina";2;"Temporal";"Otorgadas"
"186";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Colombia";5;"Temporal";"Otorgadas"
"187";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Haití";5;"Temporal";"Otorgadas"
"188";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Honduras";1;"Temporal";"Otorgadas"
"189";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Nueva Zelanda";1;"Temporal";"Otorgadas"
"190";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Otro país";1;"Temporal";"Otorgadas"
"191";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Perú";3;"Temporal";"Otorgadas"
"192";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Uruguay";2;"Temporal";"Otorgadas"
"193";"Calera de Tango";13403;"Metropolitana de Santiago";13;2023;"Venezuela";10;"Temporal";"Otorgadas"
"194";"Calle Larga";5302;"Valparaíso";5;2023;"Argentina";2;"Temporal";"Otorgadas"
"195";"Calle Larga";5302;"Valparaíso";5;2023;"Colombia";1;"Temporal";"Otorgadas"
"196";"Calle Larga";5302;"Valparaíso";5;2023;"Perú";3;"Temporal";"Otorgadas"
"197";"Calle Larga";5302;"Valparaíso";5;2023;"Venezuela";4;"Temporal";"Otorgadas"
"198";"Camarones";15102;"Arica y Parinacota";15;2023;"Bolivia";4;"Temporal";"Otorgadas"
"199";"Camarones";15102;"Arica y Parinacota";15;2023;"Perú";1;"Temporal";"Otorgadas"
"200";"Camiña";1402;"Tarapacá";1;2023;"Bolivia";13;"Temporal";"Otorgadas"
"201";"Canela";4202;"Coquimbo";4;2023;"Bolivia";2;"Temporal";"Otorgadas"
"202";"Canela";4202;"Coquimbo";4;2023;"Colombia";5;"Temporal";"Otorgadas"
"203";"Canela";4202;"Coquimbo";4;2023;"Venezuela";1;"Temporal";"Otorgadas"
"204";"Carahue";9102;"La Araucanía";9;2023;"Bolivia";1;"Temporal";"Otorgadas"
"205";"Carahue";9102;"La Araucanía";9;2023;"Venezuela";1;"Temporal";"Otorgadas"
"206";"Cartagena";5603;"Valparaíso";5;2023;"Colombia";11;"Temporal";"Otorgadas"
"207";"Cartagena";5603;"Valparaíso";5;2023;"Ecuador";4;"Temporal";"Otorgadas"
"208";"Cartagena";5603;"Valparaíso";5;2023;"Haití";4;"Temporal";"Otorgadas"
"209";"Cartagena";5603;"Valparaíso";5;2023;"Paraguay";1;"Temporal";"Otorgadas"
"210";"Cartagena";5603;"Valparaíso";5;2023;"Perú";11;"Temporal";"Otorgadas"
"211";"Cartagena";5603;"Valparaíso";5;2023;"República Dominicana";1;"Temporal";"Otorgadas"
"212";"Cartagena";5603;"Valparaíso";5;2023;"Venezuela";27;"Temporal";"Otorgadas"
"213";"Casablanca";5102;"Valparaíso";5;2023;"Argentina";2;"Temporal";"Otorgadas"
