"";"cut_comuna";"cut_region";"tipo";"n"
"617";"14106";14;"Reten";1
"618";"14106";14;"Tenencia";1
"619";"14107";14;"Reten";2
"620";"14107";14;"Subcomisaria";1
"621";"14108";14;"Comisaria";1
"622";"14108";14;"Reten";3
"623";"14108";14;"Tenencia";2
"624";"14201";14;"Comisaria";1
"625";"14201";14;"Reten";3
"626";"14201";14;"Tenencia carreteras";1
"627";"14202";14;"Reten";1
"628";"14202";14;"Tenencia";1
"629";"14203";14;"Reten";1
"630";"14203";14;"Tenencia";1
"631";"14204";14;"Comisaria";1
"632";"14204";14;"Reten";4
"633";"15101";15;"Comisaria";2
"634";"15101";15;"Prefectura";1
"635";"15101";15;"Reten";3
"636";"15101";15;"Subcomisaria";3
"637";"15101";15;"Zona";1
"638";"15102";15;"Reten";1
"639";"15102";15;"Tenencia carreteras";1
"640";"15201";15;"Comisaria";1
"641";"15201";15;"Reten";5
"642";"15201";15;"Tenencia";1
"643";"15202";15;"Reten";2
"644";"15202";15;"Tenencia";1
"645";"16101";16;"Comisaria";1
"646";"16101";16;"Prefectura";1
"647";"16101";16;"Reten";1
"648";"16101";16;"Subcomisaria";2
"649";"16101";16;"Tenencia";1
"650";"16102";16;"Comisaria";1
"651";"16102";16;"Reten";1
"652";"16103";16;"Comisaria";1
"653";"16103";16;"Reten";1
"654";"16104";16;"Tenencia";1
"655";"16105";16;"Tenencia";1
"656";"16106";16;"Reten";1
"657";"16106";16;"Tenencia";2
"658";"16107";16;"Tenencia";1
"659";"16108";16;"Reten";3
"660";"16109";16;"Comisaria";1
"661";"16109";16;"Reten";1
"662";"16201";16;"Comisaria";1
"663";"16202";16;"Reten";1
"664";"16203";16;"Reten";2
"665";"16203";16;"Subcomisaria";1
"666";"16204";16;"Reten";1
"667";"16205";16;"Reten";1
"668";"16206";16;"Reten";1
"669";"16207";16;"Reten";1
"670";"16301";16;"Comisaria";1
"671";"16301";16;"Reten";2
"672";"16302";16;"Reten";2
"673";"16302";16;"Subcomisaria";1
"674";"16303";16;"Reten";1
"675";"16303";16;"Tenencia";1
"676";"16304";16;"Reten";1
"677";"16304";16;"Subcomisaria";1
"678";"16305";16;"Reten";1
"679";"16305";16;"Subcomisaria";1
