cut_comuna;comuna;cut_region;region;opciones;votos
5105;Puchuncaví;5;Valparaíso;VOTOS NULOS;304
5705;Putaendo;5;Valparaíso;APRUEBO;5085
5705;Putaendo;5;Valparaíso;RECHAZO;7674
5705;Putaendo;5;Valparaíso;VOTOS EN BLANCO;101
5705;Putaendo;5;Valparaíso;VOTOS NULOS;189
5501;Quillota;5;Valparaíso;APRUEBO;24371
5501;Quillota;5;Valparaíso;RECHAZO;41314
5501;Quillota;5;Valparaíso;VOTOS EN BLANCO;363
5501;Quillota;5;Valparaíso;VOTOS NULOS;1216
5801;Quilpué;5;Valparaíso;APRUEBO;50936
5801;Quilpué;5;Valparaíso;RECHAZO;65699
5801;Quilpué;5;Valparaíso;VOTOS EN BLANCO;741
5801;Quilpué;5;Valparaíso;VOTOS NULOS;2431
5107;Quintero;5;Valparaíso;APRUEBO;9205
5107;Quintero;5;Valparaíso;RECHAZO;12771
5107;Quintero;5;Valparaíso;VOTOS EN BLANCO;175
5107;Quintero;5;Valparaíso;VOTOS NULOS;517
5303;Rinconada;5;Valparaíso;APRUEBO;3241
5303;Rinconada;5;Valparaíso;RECHAZO;5700
5303;Rinconada;5;Valparaíso;VOTOS EN BLANCO;61
5303;Rinconada;5;Valparaíso;VOTOS NULOS;75
5304;San Esteban;5;Valparaíso;APRUEBO;4730
5304;San Esteban;5;Valparaíso;RECHAZO;9399
5304;San Esteban;5;Valparaíso;VOTOS EN BLANCO;95
5304;San Esteban;5;Valparaíso;VOTOS NULOS;209
5701;San Felipe;5;Valparaíso;APRUEBO;20892
5701;San Felipe;5;Valparaíso;RECHAZO;31658
5701;San Felipe;5;Valparaíso;VOTOS EN BLANCO;373
5701;San Felipe;5;Valparaíso;VOTOS NULOS;859
5706;Santa María;5;Valparaíso;APRUEBO;3505
5706;Santa María;5;Valparaíso;RECHAZO;7646
5706;Santa María;5;Valparaíso;VOTOS EN BLANCO;91
5706;Santa María;5;Valparaíso;VOTOS NULOS;138
5804;Villa Alemana;5;Valparaíso;APRUEBO;37610
5804;Villa Alemana;5;Valparaíso;RECHAZO;51546
5804;Villa Alemana;5;Valparaíso;VOTOS EN BLANCO;521
5804;Villa Alemana;5;Valparaíso;VOTOS NULOS;1953
5405;Zapallar;5;Valparaíso;APRUEBO;2831
5405;Zapallar;5;Valparaíso;RECHAZO;5698
5405;Zapallar;5;Valparaíso;VOTOS EN BLANCO;42
5405;Zapallar;5;Valparaíso;VOTOS NULOS;106
5602;Algarrobo;5;Valparaíso;APRUEBO;5128
5602;Algarrobo;5;Valparaíso;RECHAZO;8849
5602;Algarrobo;5;Valparaíso;VOTOS EN BLANCO;69
5602;Algarrobo;5;Valparaíso;VOTOS NULOS;261
5603;Cartagena;5;Valparaíso;APRUEBO;6924
5603;Cartagena;5;Valparaíso;RECHAZO;9966
5603;Cartagena;5;Valparaíso;VOTOS EN BLANCO;106
5603;Cartagena;5;Valparaíso;VOTOS NULOS;313
5102;Casablanca;5;Valparaíso;APRUEBO;6814
5102;Casablanca;5;Valparaíso;RECHAZO;13624
5102;Casablanca;5;Valparaíso;VOTOS EN BLANCO;134
5102;Casablanca;5;Valparaíso;VOTOS NULOS;382
5103;Concón;5;Valparaíso;APRUEBO;13231
5103;Concón;5;Valparaíso;RECHAZO;24595
5103;Concón;5;Valparaíso;VOTOS EN BLANCO;226
5103;Concón;5;Valparaíso;VOTOS NULOS;565
5604;El Quisco;5;Valparaíso;APRUEBO;6146
5604;El Quisco;5;Valparaíso;RECHAZO;7460
5604;El Quisco;5;Valparaíso;VOTOS EN BLANCO;63
5604;El Quisco;5;Valparaíso;VOTOS NULOS;300
5605;El Tabo;5;Valparaíso;APRUEBO;6022
5605;El Tabo;5;Valparaíso;RECHAZO;6598
5605;El Tabo;5;Valparaíso;VOTOS EN BLANCO;68
5605;El Tabo;5;Valparaíso;VOTOS NULOS;211
5201;Isla de Pascua;5;Valparaíso;APRUEBO;2355
5201;Isla de Pascua;5;Valparaíso;RECHAZO;1865
5201;Isla de Pascua;5;Valparaíso;VOTOS EN BLANCO;41
5201;Isla de Pascua;5;Valparaíso;VOTOS NULOS;80
5104;Juan Fernández;5;Valparaíso;APRUEBO;315
5104;Juan Fernández;5;Valparaíso;RECHAZO;226
5104;Juan Fernández;5;Valparaíso;VOTOS EN BLANCO;4
5104;Juan Fernández;5;Valparaíso;VOTOS NULOS;10
5601;San Antonio;5;Valparaíso;APRUEBO;34195
5601;San Antonio;5;Valparaíso;RECHAZO;34167
5601;San Antonio;5;Valparaíso;VOTOS EN BLANCO;394
5601;San Antonio;5;Valparaíso;VOTOS NULOS;1201
5606;Santo Domingo;5;Valparaíso;APRUEBO;3518
5606;Santo Domingo;5;Valparaíso;RECHAZO;7678
5606;Santo Domingo;5;Valparaíso;VOTOS EN BLANCO;76
5606;Santo Domingo;5;Valparaíso;VOTOS NULOS;159
5101;Valparaíso;5;Valparaíso;APRUEBO;110326
5101;Valparaíso;5;Valparaíso;RECHAZO;111824
5101;Valparaíso;5;Valparaíso;VOTOS EN BLANCO;1400
