"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"366";"ESPAÑA";"2022";85;13125;"Quilicura";13;"Metropolitana de Santiago"
"367";"ESPAÑA";"2022";69;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"368";"ESPAÑA";"2022";113;13127;"Recoleta";13;"Metropolitana de Santiago"
"369";"ESPAÑA";"2022";91;13401;"San Bernardo";13;"Metropolitana de Santiago"
"370";"ESPAÑA";"2022";56;13129;"San Joaquín";13;"Metropolitana de Santiago"
"371";"ESPAÑA";"2022";158;13130;"San Miguel";13;"Metropolitana de Santiago"
"372";"ESPAÑA";"2022";1504;13101;"Santiago";13;"Metropolitana de Santiago"
"373";"ESPAÑA";"2022";868;13132;"Vitacura";13;"Metropolitana de Santiago"
"374";"ESPAÑA";"2022";928;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"375";"ESPAÑA";"2022";29;1107;"Alto Hospicio";1;"Tarapacá"
"376";"ESPAÑA";"2022";138;1101;"Iquique";1;"Tarapacá"
"377";"ESPAÑA";"2022";463;5101;"Valparaíso";5;"Valparaíso"
"378";"ESPAÑA";"2022";763;5109;"Viña del Mar";5;"Valparaíso"
"379";"ESTADOS UNIDOS";"2022";234;2101;"Antofagasta";2;"Antofagasta"
"380";"ESTADOS UNIDOS";"2022";46;2201;"Calama";2;"Antofagasta"
"381";"ESTADOS UNIDOS";"2022";103;15101;"Arica";15;"Arica y Parinacota"
"382";"ESTADOS UNIDOS";"2022";33;3101;"Copiapó";3;"Atacama"
"383";"ESTADOS UNIDOS";"2022";255;8101;"Concepción";8;"Biobío"
"384";"ESTADOS UNIDOS";"2022";78;4102;"Coquimbo";4;"Coquimbo"
"385";"ESTADOS UNIDOS";"2022";132;4101;"La Serena";4;"Coquimbo"
"386";"ESTADOS UNIDOS";"2022";123;9101;"Temuco";9;"La Araucanía"
"387";"ESTADOS UNIDOS";"2022";146;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"388";"ESTADOS UNIDOS";"2022";53;10101;"Puerto Montt";10;"Los Lagos"
"389";"ESTADOS UNIDOS";"2022";49;7301;"Curicó";7;"Maule"
"390";"ESTADOS UNIDOS";"2022";92;7101;"Talca";7;"Maule"
"391";"ESTADOS UNIDOS";"2022";20;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"392";"ESTADOS UNIDOS";"2022";360;13301;"Colina";13;"Metropolitana de Santiago"
"393";"ESTADOS UNIDOS";"2022";27;13104;"Conchalí";13;"Metropolitana de Santiago"
"394";"ESTADOS UNIDOS";"2022";58;13106;"Estación Central";13;"Metropolitana de Santiago"
"395";"ESTADOS UNIDOS";"2022";38;13108;"Independencia";13;"Metropolitana de Santiago"
"396";"ESTADOS UNIDOS";"2022";53;13109;"La Cisterna";13;"Metropolitana de Santiago"
"397";"ESTADOS UNIDOS";"2022";230;13110;"La Florida";13;"Metropolitana de Santiago"
"398";"ESTADOS UNIDOS";"2022";2022;13114;"Las Condes";13;"Metropolitana de Santiago"
"399";"ESTADOS UNIDOS";"2022";1206;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"400";"ESTADOS UNIDOS";"2022";18;13117;"Lo Prado";13;"Metropolitana de Santiago"
"401";"ESTADOS UNIDOS";"2022";91;13118;"Macul";13;"Metropolitana de Santiago"
"402";"ESTADOS UNIDOS";"2022";274;13119;"Maipú";13;"Metropolitana de Santiago"
"403";"ESTADOS UNIDOS";"2022";24;13501;"Melipilla";13;"Metropolitana de Santiago"
"404";"ESTADOS UNIDOS";"2022";209;13122;"Peñalolén";13;"Metropolitana de Santiago"
"405";"ESTADOS UNIDOS";"2022";1022;13123;"Providencia";13;"Metropolitana de Santiago"
"406";"ESTADOS UNIDOS";"2022";54;13124;"Pudahuel";13;"Metropolitana de Santiago"
"407";"ESTADOS UNIDOS";"2022";137;13201;"Puente Alto";13;"Metropolitana de Santiago"
"408";"ESTADOS UNIDOS";"2022";77;13125;"Quilicura";13;"Metropolitana de Santiago"
"409";"ESTADOS UNIDOS";"2022";40;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"410";"ESTADOS UNIDOS";"2022";145;13127;"Recoleta";13;"Metropolitana de Santiago"
"411";"ESTADOS UNIDOS";"2022";134;13401;"San Bernardo";13;"Metropolitana de Santiago"
"412";"ESTADOS UNIDOS";"2022";27;13129;"San Joaquín";13;"Metropolitana de Santiago"
"413";"ESTADOS UNIDOS";"2022";102;13130;"San Miguel";13;"Metropolitana de Santiago"
"414";"ESTADOS UNIDOS";"2022";753;13101;"Santiago";13;"Metropolitana de Santiago"
"415";"ESTADOS UNIDOS";"2022";884;13132;"Vitacura";13;"Metropolitana de Santiago"
"416";"ESTADOS UNIDOS";"2022";524;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"417";"ESTADOS UNIDOS";"2022";18;1107;"Alto Hospicio";1;"Tarapacá"
"418";"ESTADOS UNIDOS";"2022";87;1101;"Iquique";1;"Tarapacá"
"419";"ESTADOS UNIDOS";"2022";288;5101;"Valparaíso";5;"Valparaíso"
"420";"ESTADOS UNIDOS";"2022";681;5109;"Viña del Mar";5;"Valparaíso"
"421";"FRANCIA";"2022";49;2101;"Antofagasta";2;"Antofagasta"
"422";"FRANCIA";"2022";9;2201;"Calama";2;"Antofagasta"
"423";"FRANCIA";"2022";24;15101;"Arica";15;"Arica y Parinacota"
"424";"FRANCIA";"2022";11;3101;"Copiapó";3;"Atacama"
"425";"FRANCIA";"2022";135;8101;"Concepción";8;"Biobío"
"426";"FRANCIA";"2022";37;4102;"Coquimbo";4;"Coquimbo"
"427";"FRANCIA";"2022";59;4101;"La Serena";4;"Coquimbo"
"428";"FRANCIA";"2022";38;9101;"Temuco";9;"La Araucanía"
"429";"FRANCIA";"2022";23;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"430";"FRANCIA";"2022";26;10101;"Puerto Montt";10;"Los Lagos"
"431";"FRANCIA";"2022";43;7301;"Curicó";7;"Maule"
"432";"FRANCIA";"2022";33;7101;"Talca";7;"Maule"
"433";"FRANCIA";"2022";13;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"434";"FRANCIA";"2022";150;13301;"Colina";13;"Metropolitana de Santiago"
"435";"FRANCIA";"2022";9;13104;"Conchalí";13;"Metropolitana de Santiago"
"436";"FRANCIA";"2022";12;13106;"Estación Central";13;"Metropolitana de Santiago"
"437";"FRANCIA";"2022";24;13108;"Independencia";13;"Metropolitana de Santiago"
"438";"FRANCIA";"2022";8;13109;"La Cisterna";13;"Metropolitana de Santiago"
"439";"FRANCIA";"2022";84;13110;"La Florida";13;"Metropolitana de Santiago"
"440";"FRANCIA";"2022";682;13114;"Las Condes";13;"Metropolitana de Santiago"
"441";"FRANCIA";"2022";126;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"442";"FRANCIA";"2022";5;13117;"Lo Prado";13;"Metropolitana de Santiago"
"443";"FRANCIA";"2022";29;13118;"Macul";13;"Metropolitana de Santiago"
"444";"FRANCIA";"2022";36;13119;"Maipú";13;"Metropolitana de Santiago"
"445";"FRANCIA";"2022";10;13501;"Melipilla";13;"Metropolitana de Santiago"
"446";"FRANCIA";"2022";72;13122;"Peñalolén";13;"Metropolitana de Santiago"
"447";"FRANCIA";"2022";877;13123;"Providencia";13;"Metropolitana de Santiago"
"448";"FRANCIA";"2022";18;13124;"Pudahuel";13;"Metropolitana de Santiago"
"449";"FRANCIA";"2022";29;13201;"Puente Alto";13;"Metropolitana de Santiago"
"450";"FRANCIA";"2022";31;13125;"Quilicura";13;"Metropolitana de Santiago"
"451";"FRANCIA";"2022";13;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"452";"FRANCIA";"2022";53;13127;"Recoleta";13;"Metropolitana de Santiago"
"453";"FRANCIA";"2022";23;13401;"San Bernardo";13;"Metropolitana de Santiago"
"454";"FRANCIA";"2022";16;13129;"San Joaquín";13;"Metropolitana de Santiago"
"455";"FRANCIA";"2022";38;13130;"San Miguel";13;"Metropolitana de Santiago"
"456";"FRANCIA";"2022";636;13101;"Santiago";13;"Metropolitana de Santiago"
"457";"FRANCIA";"2022";890;13132;"Vitacura";13;"Metropolitana de Santiago"
"458";"FRANCIA";"2022";321;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"459";"FRANCIA";"2022";4;1107;"Alto Hospicio";1;"Tarapacá"
"460";"FRANCIA";"2022";31;1101;"Iquique";1;"Tarapacá"
"461";"FRANCIA";"2022";218;5101;"Valparaíso";5;"Valparaíso"
"462";"FRANCIA";"2022";232;5109;"Viña del Mar";5;"Valparaíso"
"463";"HAITÍ";"2022";62;2101;"Antofagasta";2;"Antofagasta"
"464";"HAITÍ";"2022";42;2201;"Calama";2;"Antofagasta"
"465";"HAITÍ";"2022";31;15101;"Arica";15;"Arica y Parinacota"
"466";"HAITÍ";"2022";123;3101;"Copiapó";3;"Atacama"
"467";"HAITÍ";"2022";821;8101;"Concepción";8;"Biobío"
"468";"HAITÍ";"2022";2231;4102;"Coquimbo";4;"Coquimbo"
"469";"HAITÍ";"2022";647;4101;"La Serena";4;"Coquimbo"
"470";"HAITÍ";"2022";1738;9101;"Temuco";9;"La Araucanía"
"471";"HAITÍ";"2022";2365;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"472";"HAITÍ";"2022";1763;10101;"Puerto Montt";10;"Los Lagos"
"473";"HAITÍ";"2022";4743;7301;"Curicó";7;"Maule"
"474";"HAITÍ";"2022";3455;7101;"Talca";7;"Maule"
"475";"HAITÍ";"2022";3787;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"476";"HAITÍ";"2022";2599;13301;"Colina";13;"Metropolitana de Santiago"
