"";"cut_comuna";"comuna";"cut_region";"region";"delitos";"delitos_mcs";"delitoc_mcs_p"
"268";13112;"La Pintana";13;"Metropolitana de Santiago";7238;3626;1,996138996139
"269";13113;"La Reina";13;"Metropolitana de Santiago";3891;1771;2,19706380575946
"270";13114;"Las Condes";13;"Metropolitana de Santiago";8638;4506;1,91699955614736
"271";13115;"Lo Barnechea";13;"Metropolitana de Santiago";2934;1135;2,58502202643172
"272";13116;"Lo Espejo";13;"Metropolitana de Santiago";4551;2274;2,00131926121372
"273";13117;"Lo Prado";13;"Metropolitana de Santiago";5885;3246;1,81300061614295
"274";13118;"Macul";13;"Metropolitana de Santiago";5986;3112;1,92352185089974
"275";13119;"Maipú";13;"Metropolitana de Santiago";21634;10934;1,97859886592281
"276";13120;"Ñuñoa";13;"Metropolitana de Santiago";11267;5338;2,11071562382915
"277";13121;"Pedro Aguirre Cerda";13;"Metropolitana de Santiago";4785;2317;2,06517047906776
"278";13122;"Peñalolén";13;"Metropolitana de Santiago";8734;4463;1,95697961012772
"279";13123;"Providencia";13;"Metropolitana de Santiago";14110;8051;1,75257731958763
"280";13124;"Pudahuel";13;"Metropolitana de Santiago";12689;6564;1,93312004875076
"281";13125;"Quilicura";13;"Metropolitana de Santiago";9152;4430;2,06591422121896
"282";13126;"Quinta Normal";13;"Metropolitana de Santiago";8569;4934;1,73672476692339
"283";13127;"Recoleta";13;"Metropolitana de Santiago";10877;6454;1,68531143476914
"284";13128;"Renca";13;"Metropolitana de Santiago";6731;3645;1,84663923182442
"285";13129;"San Joaquín";13;"Metropolitana de Santiago";5023;2573;1,95219588029537
"286";13130;"San Miguel";13;"Metropolitana de Santiago";7526;4341;1,73370191200184
"287";13131;"San Ramón";13;"Metropolitana de Santiago";4036;1976;2,04251012145749
"288";13132;"Vitacura";13;"Metropolitana de Santiago";2770;1370;2,02189781021898
"289";13201;"Puente Alto";13;"Metropolitana de Santiago";23087;11467;2,01334263538851
"290";13202;"Pirque";13;"Metropolitana de Santiago";1614;333;4,84684684684685
"291";13203;"San José de Maipo";13;"Metropolitana de Santiago";1347;367;3,67029972752044
"292";13301;"Colina";13;"Metropolitana de Santiago";7053;3041;2,31930286090102
"293";13302;"Lampa";13;"Metropolitana de Santiago";6076;2682;2,26547352721849
"294";13303;"Tiltil";13;"Metropolitana de Santiago";1246;408;3,05392156862745
"295";13401;"San Bernardo";13;"Metropolitana de Santiago";16095;7683;2,09488481062085
"296";13402;"Buin";13;"Metropolitana de Santiago";5075;2255;2,25055432372506
"297";13403;"Calera de Tango";13;"Metropolitana de Santiago";1284;440;2,91818181818182
"298";13404;"Paine";13;"Metropolitana de Santiago";3306;1348;2,45252225519288
"299";13501;"Melipilla";13;"Metropolitana de Santiago";6697;2936;2,28099455040872
"300";13502;"Alhué";13;"Metropolitana de Santiago";339;99;3,42424242424242
"301";13503;"Curacaví";13;"Metropolitana de Santiago";1910;757;2,52311756935271
"302";13504;"María Pinto";13;"Metropolitana de Santiago";504;217;2,32258064516129
"303";13505;"San Pedro";13;"Metropolitana de Santiago";449;165;2,72121212121212
"304";13601;"Talagante";13;"Metropolitana de Santiago";3475;1410;2,4645390070922
"305";13602;"El Monte";13;"Metropolitana de Santiago";1851;611;3,02945990180033
"306";13603;"Isla de Maipo";13;"Metropolitana de Santiago";2460;682;3,60703812316716
"307";13604;"Padre Hurtado";13;"Metropolitana de Santiago";2806;1395;2,01146953405018
"308";13605;"Peñaflor";13;"Metropolitana de Santiago";3447;1515;2,27524752475248
"309";14101;"Valdivia";14;"Los Ríos";10034;4666;2,1504500642949
"310";14102;"Corral";14;"Los Ríos";299;87;3,4367816091954
"311";14103;"Lanco";14;"Los Ríos";660;222;2,97297297297297
"312";14104;"Los Lagos";14;"Los Ríos";1156;372;3,10752688172043
"313";14105;"Máfil";14;"Los Ríos";430;123;3,49593495934959
