"";"cut_comuna";"comuna";"año";"delitos_mcs";"poblacion";"tasa"
"329";16105;"Pemuco";2023;143;8600;16
"330";16106;"Pinto";2023;145;12110;11
"331";16107;"Quillón";2023;389;19182;20
"332";16108;"San Ignacio";2023;243;16614;14
"333";16109;"Yungay";2023;305;18784;16
"334";16201;"Quirihue";2023;169;12234;13
"335";16202;"Cobquecura";2023;53;5238;10
"336";16203;"Coelemu";2023;226;16894;13
"337";16204;"Ninhue";2023;79;5370;14
"338";16205;"Portezuelo";2023;53;4891;10
"339";16206;"Ranquil";2023;116;6290;18
"340";16207;"Treguaco";2023;87;5752;15
"341";16301;"San Carlos";2023;1052;56886;18
"342";16302;"Coihueco";2023;363;28908;12
"343";16303;"Ñiquén";2023;132;11541;11
"344";16304;"San Fabián";2023;96;4761;20
"345";16305;"San Nicolás";2023;178;12414;14
